livepoints,Elapsed_Time,log(Z)
100,0.7250745296478271,-3.8156234194725336,+/-,0.17297640612761264
163,0.8943829536437988,-3.6921427382515413,+/-,0.13134051882015754
268,1.4672141075134277,-3.567156105745873,+/-,0.09983420134555204
439,2.3128602504730225,-3.799842293519949,+/-,0.08205176161363753
719,3.9539988040924072,-3.6835774243747417,+/-,0.0629227210521237
1178,5.69353461265564,-3.6536739477573605,+/-,0.04880228182725141
1930,9.109238862991333,-3.7307724650904075,+/-,0.03860572224548507
3162,15.350195169448853,-3.7388262810828907,+/-,0.03013878724126779
5179,23.97919273376465,-3.6918517249518854,+/-,0.02337960414653285
8483,43.582947969436646,-3.70218554099459,+/-,0.018336899005192944
13894,66.15593194961548,-3.7162524695032473,+/-,0.014329925918654056
22758,109.23635601997375,-3.704942314470987,+/-,0.011182447574138062
37275,265.66806507110596,-3.694832088721974,+/-,0.008723229888056008
